No.,Exchange,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,Date
74,OTC,otc/PNGAY,"Ping An Insurance (Group) Company of China, Ltd.",133299024590.0,13.67,-1.16,133154331492.0,2025-10-07
75,OTC,otc/RYCEF,Rolls-Royce Holdings plc,130135302855.0,15.39,-1.22,26768050420.0,2025-10-07
76,OTC,otc/RYCEY,Rolls-Royce Holdings plc,130135302855.0,15.59,-0.26,26768050420.0,2025-10-07
77,OTC,otc/TTFNF,TotalEnergies SE,128607641467.0,58.97,-2.58,187119000000.0,2025-10-07
78,OTC,otc/IBDSF,"Iberdrola, S.A.",123884117021.0,19.08,-0.13,52665883736.0,2025-10-07
79,OTC,otc/IBDRY,"Iberdrola, S.A.",123415861167.0,76.21,0.17,52665883736.0,2025-10-07
80,OTC,otc/SNYNF,Sanofi,120502112428.0,102.0,0.17,53714621258.0,2025-10-07
81,OTC,otc/DBSDF,DBS Group Holdings Ltd,120345199516.0,44.56,2.34,17354223113.0,2025-10-07
82,OTC,otc/DBSDY,DBS Group Holdings Ltd,120345199516.0,169.3,2.67,17354223113.0,2025-10-07
83,OTC,otc/BUDFF,Anheuser-Busch InBev SA/NV,116743698930.0,59.675,1.28,58520000000.0,2025-10-07
84,OTC,otc/UNCFF,UniCredit S.p.A.,114839225064.0,75.275,0.68,29145038169.0,2025-10-07
85,OTC,otc/UNCRY,UniCredit S.p.A.,114839225064.0,36.646,-1.04,29145038169.0,2025-10-07
86,OTC,otc/RTPPF,Rio Tinto Group,114648023023.0,66.76,2.42,53729000000.0,2025-10-07
87,OTC,otc/CFRUY,Compagnie Financière Richemont SA,114380106831.0,19.37,0.89,23129053170.0,2025-10-07
88,OTC,otc/AIQUF,L'Air Liquide S.A.,114072283441.0,197.56,-0.85,32180152673.0,2025-10-07
89,OTC,otc/AIQUY,L'Air Liquide S.A.,114072283441.0,39.48,-0.98,32180152673.0,2025-10-07
90,OTC,otc/RTNTF,Rio Tinto Group,113904933930.0,85.0,0.0,53729000000.0,2025-10-07
91,OTC,otc/IITSF,Intesa Sanpaolo S.p.A.,113397212767.0,6.38,-2.0,30189078098.0,2025-10-07
92,OTC,otc/ISNPY,Intesa Sanpaolo S.p.A.,113397212767.0,38.53,-0.54,30189078098.0,2025-10-07
93,OTC,otc/CFRHF,Compagnie Financière Richemont SA,112860767711.0,193.76,0.79,23129053170.0,2025-10-07
94,OTC,otc/BTAFF,British American Tobacco p.l.c.,111196782688.0,52.796,0.92,35067817512.0,2025-10-07
95,OTC,otc/ZIJMF,Zijin Mining Group Company Limited,111015960269.0,4.41,0.23,44799449441.0,2025-10-07
96,OTC,otc/ZIJMY,Zijin Mining Group Company Limited,111015960269.0,87.53,-0.24,44799449441.0,2025-10-07
97,OTC,otc/CHDRF,Christian Dior SE,110769190004.0,600.0,-1.02,97258954789.0,2025-10-07
98,OTC,otc/CHDRY,Christian Dior SE,110769190004.0,146.47,0.36,97258954789.0,2025-10-07
99,OTC,otc/BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",109044742928.0,19.5,1.299,36849089843.0,2025-10-07
100,OTC,otc/ENNPF,Enbridge Inc.,108553565933.0,17.436,0.21,47275380146.0,2025-10-07
101,OTC,otc/CSUAY,China Shenhua Energy Company Limited,105625024816.0,19.36,-3.2,42905022471.0,2025-10-07
102,OTC,otc/CUAEF,China Shenhua Energy Company Limited,105625024816.0,4.7255,0.0,42905022471.0,2025-10-07
103,OTC,otc/SMEGF,Siemens Energy AG,104322728696.0,122.77,-2.71,45085143865.0,2025-10-07
104,OTC,otc/SMNEY,Siemens Energy AG,104322728696.0,122.2575,-2.44,45085143865.0,2025-10-07
105,OTC,otc/HNHAF,"Hon Hai Precision Industry Co., Ltd.",104096918781.0,3.25612,0.0,253824943789.0,2025-10-07
106,OTC,otc/HNHPF,"Hon Hai Precision Industry Co., Ltd.",103929894677.0,14.885,-2.36,253824943789.0,2025-10-07
107,OTC,otc/SMFNF,"Sumitomo Mitsui Financial Group, Inc.",103157708756.0,26.825,-0.19,23194711070.0,2025-10-07
108,OTC,otc/ZURVY,Zurich Insurance Group AG,102741399657.0,36.098,-0.23,69709000000.0,2025-10-07
109,OTC,otc/ZFSVF,Zurich Insurance Group AG,102584688262.0,738.0,1.15,69709000000.0,2025-10-07
110,OTC,otc/RNMBF,Rheinmetall AG,101498144579.0,2192.5,-2.52,12532002349.0,2025-10-07
111,OTC,otc/RNMBY,Rheinmetall AG,101498144579.0,436.5,-2.66,12532002349.0,2025-10-07
112,OTC,otc/AAGIY,AIA Group Limited,101330792010.0,38.68,-0.54,25490000000.0,2025-10-07
113,OTC,otc/AAIGF,AIA Group Limited,101330792010.0,9.3973,-1.52,25490000000.0,2025-10-07
114,OTC,otc/NTDOF,"Nintendo Co., Ltd.",99759249184.0,85.15,0.16,10331912861.0,2025-10-07
115,OTC,otc/NTDOY,"Nintendo Co., Ltd.",99759249184.0,21.23,-0.75,10331912861.0,2025-10-07
116,OTC,otc/IVSBF,Investor AB (publ),99227429284.0,32.21,-1.06,8956324090.0,2025-10-07
117,OTC,otc/IVSXF,Investor AB (publ),99227429284.0,31.16,0.0,8956324090.0,2025-10-07
118,OTC,otc/BNPQY,BNP Paribas SA,98837323726.0,43.55,-1.45,54360540225.0,2025-10-07
119,OTC,otc/ENLAY,Enel SpA,97443254068.0,9.43,-1.36,91361127425.0,2025-10-07
120,OTC,otc/ESOCF,Enel SpA,97443254068.0,9.5625,-1.19,91361127425.0,2025-10-07
121,OTC,otc/BNPQF,BNP Paribas SA,97379090487.0,86.03,-3.66,54360540225.0,2025-10-07
122,OTC,otc/NEMCL,Newmont Corporation,96898132707.0,84.17281,0.0,20584000000.0,2025-10-07
123,OTC,otc/KYCCF,Keyence Corporation,96619219008.0,391.59,-3.49,7356758632.0,2025-10-07
124,OTC,otc/AXAHY,AXA SA,96350193705.0,45.63,-1.36,109466823257.0,2025-10-07
125,OTC,otc/FRCOF,"Fast Retailing Co., Ltd.",95614471833.0,288.85,-7.255,23258208698.0,2025-10-07
126,OTC,otc/FRCOY,"Fast Retailing Co., Ltd.",95614471833.0,30.93,-3.25,23258208698.0,2025-10-07
127,OTC,otc/AXAHF,AXA SA,95304795516.0,46.13,-3.04,109466823257.0,2025-10-07
128,OTC,otc/NETTF,"NetEase, Inc.",94770457320.0,30.86,0.0,15310016889.0,2025-10-07
129,OTC,otc/PSBKF,"Postal Savings Bank of China Co., Ltd.",94690126065.0,0.65,8.388,44350903149.0,2025-10-07
130,OTC,otc/PSTVY,"Postal Savings Bank of China Co., Ltd.",94690126065.0,14.79,-1.07,44350903149.0,2025-10-07
131,OTC,otc/TOELF,Tokyo Electron Limited,91216448036.0,199.92,2.53,16815569446.0,2025-10-07
132,OTC,otc/TOELY,Tokyo Electron Limited,91216448036.0,97.82,-6.84,16815569446.0,2025-10-07
133,OTC,otc/MHVIY,"Mitsubishi Heavy Industries, Ltd.",90707486054.0,27.15,-2.02,35413188647.0,2025-10-07
134,OTC,otc/MHVYF,"Mitsubishi Heavy Industries, Ltd.",90707486054.0,27.19,-1.7,35413188647.0,2025-10-07
135,OTC,otc/SBKFF,State Bank of India,89966443679.0,103.95,0.0,40853959527.0,2025-10-07
136,OTC,otc/NABZY,National Australia Bank Limited,89760678851.0,14.78,-0.27,13039729895.0,2025-10-07
137,OTC,otc/NAUBF,National Australia Bank Limited,89760678851.0,28.5,6.582,13039729895.0,2025-10-07
138,OTC,otc/MTSUY,Mitsubishi Corporation,89719748949.0,23.55,-0.97,125803007631.0,2025-10-07
139,OTC,otc/BPAQF,BP p.l.c.,89528186324.0,5.72,-2.72,184806000000.0,2025-10-07
140,OTC,otc/MSBHF,Mitsubishi Corporation,89088114394.0,23.75,-1.33,125803007631.0,2025-10-07
141,OTC,otc/WEBNF,Westpac Banking Corporation,88653569360.0,26.0,3.65,14204418809.0,2025-10-07
142,OTC,otc/GLAXF,GSK plc,87370065887.0,21.0,-3.47,43336073439.0,2025-10-07
143,OTC,otc/ADTTF,Advantest Corporation,86642875403.0,79.96,0.0,6271022459.0,2025-10-07
144,OTC,otc/ATEYY,Advantest Corporation,86642875403.0,117.39,-4.48,6271022459.0,2025-10-07
145,OTC,otc/ATLFF,Atlas Copco AB (publ),85591433018.0,14.86,0.0,18196052862.0,2025-10-07
146,OTC,otc/MURGF,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,85443098701.0,654.305,-1.9,73197886086.0,2025-10-07
147,OTC,otc/MURGY,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,85443098701.0,13.24,-0.68,73197886086.0,2025-10-07
148,OTC,otc/NPPXF,"NTT, Inc.",85279988522.0,0.95,-15.93,95142252012.0,2025-10-07
149,OTC,otc/ATLCY,Atlas Copco AB (publ),84886330708.0,15.93,-1.3,18196052862.0,2025-10-07
150,OTC,otc/ATLKY,Atlas Copco AB (publ),84886330708.0,18.08,-1.58,18196052862.0,2025-10-07
151,OTC,otc/ATLPF,Atlas Copco AB (publ),84886330708.0,18.33,0.0,18196052862.0,2025-10-07
152,OTC,otc/SNPMF,China Petroleum & Chemical Corporation,84768181122.0,0.528,0.0,405857645358.0,2025-10-07
153,OTC,otc/NTTYY,"NTT, Inc.",84679610253.0,25.616,-1.74,95142252012.0,2025-10-07
154,OTC,otc/RLXXF,RELX PLC,83096184140.0,45.6,-2.35,13062063298.0,2025-10-07
155,OTC,otc/MPNGF,Meituan,82885533110.0,13.4,1.59,50317180962.0,2025-10-07
156,OTC,otc/MPNGY,Meituan,82885533110.0,26.8,-2.33,50317180962.0,2025-10-07
157,OTC,otc/BAESY,BAE Systems plc,81013813803.0,107.49,-2.3,37547609265.0,2025-10-07
158,OTC,otc/BAESF,BAE Systems plc,79897217660.0,26.67,-2.2,37547609265.0,2025-10-07
159,OTC,otc/BCMXY,"Bank of Communications Co., Ltd.",79425890326.0,20.594,0.0,29070604984.0,2025-10-07
160,OTC,otc/BKFCF,"Bank of Communications Co., Ltd.",79425890326.0,0.89,0.0,29070604984.0,2025-10-07
161,OTC,otc/CHGCY,"Chugai Pharmaceutical Co., Ltd.",79154305339.0,23.82,-4.45,8291150628.0,2025-10-07
162,OTC,otc/ITOCF,ITOCHU Corporation,79126647501.0,56.83,-0.05,101778879299.0,2025-10-07
163,OTC,otc/CHGCF,"Chugai Pharmaceutical Co., Ltd.",78597052393.0,47.195,2.911,8291150628.0,2025-10-07
164,OTC,otc/ITOCY,ITOCHU Corporation,78569589268.0,111.52,-1.72,101778879299.0,2025-10-07
165,OTC,otc/TKOMF,"Tokio Marine Holdings, Inc.",78321364228.0,41.79,0.0,57589469722.0,2025-10-07
166,OTC,otc/MZHOF,"Mizuho Financial Group, Inc.",78194889239.0,33.52,0.0,27073006993.0,2025-10-07
167,OTC,otc/MGCLY,"Midea Group Co., Ltd.",77771492216.0,10.83,1.88,61559481835.0,2025-10-07
168,OTC,otc/MGCOF,"Midea Group Co., Ltd.",77771492216.0,10.6323,-8.97,61559481835.0,2025-10-07
169,OTC,otc/TKOMY,"Tokio Marine Holdings, Inc.",77769975257.0,40.98,-2.57,57589469722.0,2025-10-07
170,OTC,otc/NNFSF,"Nongfu Spring Co., Ltd.",76956649312.0,6.8888,0.0,6469347134.0,2025-10-07
171,OTC,otc/RCRRF,"Recruit Holdings Co., Ltd.",74178634919.0,54.73,-2.42,24499980190.0,2025-10-07
172,OTC,otc/RCRUY,"Recruit Holdings Co., Ltd.",74178634919.0,10.38,-2.9,24499980190.0,2025-10-07
173,OTC,otc/CIXPF,"CaixaBank, S.A.",73997104307.0,10.09,0.52,17902524957.0,2025-10-07
174,OTC,otc/CAIXY,"CaixaBank, S.A.",73557210496.0,3.42,-0.29,17902524957.0,2025-10-07
175,OTC,otc/VCISF,Vinci SA,73272609718.0,136.75,-0.1,86582501471.0,2025-10-07
176,OTC,otc/VCISY,Vinci SA,73033128803.0,33.59,-1.06,86582501471.0,2025-10-07
177,OTC,otc/HKXCF,Hong Kong Exchanges and Clearing Limited,72826808005.0,58.81,-0.51,3260020753.0,2025-10-07
178,OTC,otc/HKXCY,Hong Kong Exchanges and Clearing Limited,72826808005.0,57.5,-0.48,3260020753.0,2025-10-07
179,OTC,otc/NGGTF,National Grid plc,72294034583.0,14.975,0.67,23744492829.0,2025-10-07
180,OTC,otc/BCLYF,Barclays PLC,71613841510.0,5.145,2.04,35147280453.0,2025-10-07
181,OTC,otc/INGVF,ING Groep N.V.,71500881673.0,24.7,-3.13,23011156783.0,2025-10-07
182,OTC,otc/FNMA,Federal National Mortgage Association,70415565254.0,12.16,-0.9,28894000000.0,2025-10-07
183,OTC,otc/MITSF,"Mitsui & Co., Ltd.",70314355278.0,24.76,-2.29,97886339843.0,2025-10-07
184,OTC,otc/MITSY,"Mitsui & Co., Ltd.",70314355278.0,489.49,-2.31,97886339843.0,2025-10-07
185,OTC,otc/SFBQF,SoftBank Corp.,68104156114.0,1.485,-4.35,46211721061.0,2025-10-07
186,OTC,otc/SOBKY,SoftBank Corp.,68104156114.0,14.24,-1.47,46211721061.0,2025-10-07
187,OTC,otc/WFAFF,Wesfarmers Limited,67556088746.0,59.89,1.13,29961319098.0,2025-10-07
188,OTC,otc/WFAFY,Wesfarmers Limited,67556088746.0,29.617,-2.12,29961319098.0,2025-10-07
189,OTC,otc/ANZGF,ANZ Group Holdings Limited,67161115164.0,21.18,0.0,13159535980.0,2025-10-07
190,OTC,otc/ANZGY,ANZ Group Holdings Limited,67161115164.0,22.54,-0.27,13159535980.0,2025-10-07
191,OTC,otc/LLDTF,Lloyds Banking Group plc,65832617645.0,1.1,-1.79,24212905880.0,2025-10-07
192,OTC,otc/CMXHF,CSL Limited,65450843073.0,129.44,-2.26,15558000000.0,2025-10-07
193,OTC,otc/CSLLY,CSL Limited,65450843073.0,67.75,-0.37,15558000000.0,2025-10-07
194,OTC,otc/SHECF,"Shin-Etsu Chemical Co., Ltd.",64498326533.0,35.86,7.13,17964651807.0,2025-10-07
195,OTC,otc/SHECY,"Shin-Etsu Chemical Co., Ltd.",64498326533.0,17.08,-2.01,17964651807.0,2025-10-07
196,OTC,otc/BYMOF,Bayerische Motoren Werke Aktiengesellschaft,63923470395.0,92.36,0.97,160313564303.0,2025-10-07
197,OTC,otc/STOHF,Equinor ASA,63245138408.0,25.38,0.0,106465000000.0,2025-10-07
198,OTC,otc/SEMHF,Siemens Healthineers AG,63062605615.0,56.8575,2.464,27459776865.0,2025-10-07
199,OTC,otc/SMMNY,Siemens Healthineers AG,62995611864.0,28.16,-0.38,27459776865.0,2025-10-07
200,OTC,otc/AMXOF,"América Móvil, S.A.B. de C.V.",62973942791.0,0.98,0.0,49115029483.0,2025-10-07
201,OTC,otc/BAMXF,Bayerische Motoren Werke Aktiengesellschaft,62433439596.0,102.099,-0.41,160313564303.0,2025-10-07
202,OTC,otc/BMWKY,Bayerische Motoren Werke Aktiengesellschaft,62433439596.0,32.855,-5.78,160313564303.0,2025-10-07
203,OTC,otc/MBGAF,Mercedes-Benz Group AG,62410895877.0,61.8,-4.88,163658250152.0,2025-10-07
204,OTC,otc/THLEF,Thales S.A.,62400651606.0,311.97,2.094,25072108045.0,2025-10-07
205,OTC,otc/THLLY,Thales S.A.,62400651606.0,60.58,-2.45,25072108045.0,2025-10-07
206,OTC,otc/MBGYY,Mercedes-Benz Group AG,61948655146.0,15.59,-3.77,163658250152.0,2025-10-07
207,OTC,otc/CIIHF,CITIC Securities Company Limited,61612553427.0,3.65,-10.758,9637787271.0,2025-10-07
208,OTC,otc/CIIHY,CITIC Securities Company Limited,61612553427.0,35.06,0.0,9637787271.0,2025-10-07
209,OTC,otc/MKGAF,Merck KGaA,60519740808.0,139.71,-1.44,24919553729.0,2025-10-07
210,OTC,otc/MKKGY,Merck KGaA,60519740808.0,27.68,-1.49,24919553729.0,2025-10-07
211,OTC,otc/KDDIF,KDDI Corporation,60366205458.0,15.975,1.75,41345360556.0,2025-10-07
212,OTC,otc/KDDIY,KDDI Corporation,60366205458.0,15.7,-0.08,41345360556.0,2025-10-07
213,OTC,otc/LDNXF,London Stock Exchange Group plc,60020991365.0,115.8,-0.17,12523633376.0,2025-10-07
214,OTC,otc/LNSTY,London Stock Exchange Group plc,59817533643.0,29.04,-0.65,12523633376.0,2025-10-07
215,OTC,otc/VOLVF,AB Volvo (publ),59715587734.0,29.375,-0.55,52587815777.0,2025-10-07
216,OTC,otc/CNSWF,Constellation Software Inc.,59223962661.0,2738.93,-1.78,10742000000.0,2025-10-07
217,OTC,otc/RBSPF,NatWest Group plc,59152724163.0,7.3,-0.82,20360323334.0,2025-10-07
218,OTC,otc/GMBXF,"Grupo México, S.A.B. de C.V.",58641119403.0,7.5825,1.64,16405349000.0,2025-10-07
219,OTC,otc/VLVLY,AB Volvo (publ),58398980830.0,28.58,-2.62,52587815777.0,2025-10-07
220,OTC,otc/VOLAF,AB Volvo (publ),58398980830.0,29.49,0.0,52587815777.0,2025-10-07
221,OTC,otc/CODYY,Compagnie de Saint-Gobain S.A.,58230958661.0,21.17,-0.98,55148561364.0,2025-10-07
222,OTC,otc/NPSNY,Naspers Limited,58192517942.0,73.642,-1.55,7181000000.0,2025-10-07
223,OTC,otc/ARZGF,Assicurazioni Generali S.p.A.,58190043480.0,39.045,0.0,66690546097.0,2025-10-07
224,OTC,otc/ARZGY,Assicurazioni Generali S.p.A.,58190043480.0,19.05,-0.37,66690546097.0,2025-10-07
225,OTC,otc/CRARF,Crédit Agricole S.A.,57986298730.0,19.3,-0.46,31007633589.0,2025-10-07
226,OTC,otc/CRARY,Crédit Agricole S.A.,57986298730.0,9.44,-1.05,31007633589.0,2025-10-07
227,OTC,otc/CODGF,Compagnie de Saint-Gobain S.A.,57964169324.0,107.65,1.41,55148561364.0,2025-10-07
228,OTC,otc/CMPGF,Compass Group PLC,57897290147.0,34.11,-1.56,43826000000.0,2025-10-07
229,OTC,otc/CMPGY,Compass Group PLC,57897290147.0,34.08,-0.93,43826000000.0,2025-10-07
230,OTC,otc/LTOUF,Larsen & Toubro Limited,57836479032.0,42.2095,-0.765,31341637110.0,2025-10-07
231,OTC,otc/NAPRF,Naspers Limited,57755165607.0,74.0,2.356,7181000000.0,2025-10-07
232,OTC,otc/JAPAF,Japan Tobacco Inc.,57290912541.0,31.96,0.0,22972706016.0,2025-10-07
233,OTC,otc/JAPAY,Japan Tobacco Inc.,57290912541.0,16.07,-2.49,22972706016.0,2025-10-07
234,OTC,otc/SSREF,Swiss Re AG,56660734444.0,192.25,2.14,43868000000.0,2025-10-07
235,OTC,otc/SSREY,Swiss Re AG,56660734444.0,47.56,-0.36,43868000000.0,2025-10-07
236,OTC,otc/TGOPF,3i Group plc,56630689954.0,59.3175,1.97,6648664713.0,2025-10-07
237,OTC,otc/TGOPY,3i Group plc,56630689954.0,14.77,-0.47,6648664713.0,2025-10-07
238,OTC,otc/GLCNF,Glencore plc,56606558078.0,4.792,0.67,231249000000.0,2025-10-07
239,OTC,otc/GLNCY,Glencore plc,56606558078.0,9.55,0.74,231249000000.0,2025-10-07
240,OTC,otc/PBCRY,PT Bank Central Asia Tbk,56376007205.0,11.35,0.62,6758706860.0,2025-10-07
241,OTC,otc/UCBJF,UCB SA,56338026253.0,305.0,4.096,8042278333.0,2025-10-07
242,OTC,otc/UCBJY,UCB SA,56309137354.0,147.26,-0.71,8042278333.0,2025-10-07
